"cue_codigo","cue_nombre","cue_nivel","cue_saldo","cue_deb01","cue_cre01","cue_deb02","cue_cre02","cue_deb03","cue_cre03","cue_deb04","cue_cre04","cue_deb05","cue_cre05","cue_deb06","cue_cre06","cue_deb07","cue_cre07","cue_deb08","cue_cre08","cue_deb09","cue_cre09","cue_deb10","cue_cre10","cue_deb11","cue_cre11","cue_deb12","cue_cre12","cue_deb13","cue_cre13","cue_deb14","cue_cre14","cue_deb15","cue_cre15","cue_deb16","cue_cre16","cue_deb17","cue_cre17","cue_deb18","cue_cre18","cue_deb19","cue_cre19","cod_viejo"
"1-01-02-01-90-01-"," ","7",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,""
"102-01-01-01-02-1489"," ","7",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,""
"2-01-01-04-05-010001"," ","7",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,""
"2-02-02-01-01-04-"," ","7",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,""
"4-02-02-07-01-01-"," ","7",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,""
